CD114_Name,FIPS,State_FIPS,CD114_FIPS,StateCode,long,lat
IL-13,1713,17,13,IL,-89.5211356019747,39.5113326747394
IL-11,1711,17,11,IL,-88.1403747070782,41.6433641338398
IL-03,1703,17,03,IL,-87.8949166604563,41.6767222636408
IL-09,1709,17,09,IL,-87.8115886626461,42.0538437801691
IL-02,1702,17,02,IL,-87.7962659963761,41.2581061155871
IL-17,1717,17,17,IL,-90.2104351078724,41.3907296322217
IL-07,1707,17,07,IL,-87.7297113765973,41.8615077707738
IL-10,1710,17,10,IL,-87.9394612701513,42.2803904398072
IL-16,1716,17,16,IL,-88.8004679088635,41.3943856475444
IL-01,1701,17,01,IL,-87.8359840016607,41.5381460767522
IL-12,1712,17,12,IL,-89.4332199408661,37.98978315463
IL-15,1715,17,15,IL,-88.4349339148352,38.9108147310538
IL-05,1705,17,05,IL,-87.82816589377,41.9386924398007
IL-06,1706,17,06,IL,-88.1811913701476,42.0261618718297
IL-08,1708,17,08,IL,-88.1007090544134,42.0074225853292
IL-14,1714,17,14,IL,-88.4341000739122,42.0241489452518
IL-18,1718,17,18,IL,-90.073818820766,40.2307094119967
IL-04,1704,17,04,IL,-87.7915289947473,41.8606617637993
IN-05,1805,18,05,IN,-85.8616696327612,40.2536993147838
IN-06,1806,18,06,IN,-85.3630733553955,39.4803821652462
IN-09,1809,18,09,IN,-86.2074041475211,38.7865126233958
IN-03,1803,18,03,IN,-85.2318345494951,41.1017784292187
IN-08,1808,18,08,IN,-87.19478488132,38.737542477769
IN-07,1807,18,07,IN,-86.1402854207608,39.7466766730765
IN-01,1801,18,01,IN,-87.1589660298598,41.4585712563173
IN-02,1802,18,02,IN,-86.2331310157885,41.2435179308786
IN-04,1804,18,04,IN,-86.8616427872468,40.3824130869581
IA-02,1902,19,02,IA,-92.1494736503631,41.2086520428539
IA-04,1904,19,04,IA,-94.6395463683909,42.6265794535711
IA-03,1903,19,03,IA,-94.6358740126945,41.2038405755809
IA-01,1901,19,01,IA,-91.8912943169522,42.5247889112812
KS-04,2004,20,04,KS,-97.7402017407242,37.5443734808474
KS-03,2003,20,03,KS,-94.792330814196,38.8935986522109
KS-02,2002,20,02,KS,-95.4340283188741,38.4905113339841
KS-01,2001,20,01,KS,-99.402474733619,38.7302185242671
KY-03,2103,21,03,KY,-85.692698901915,38.1881800006922
KY-06,2106,21,06,KY,-84.1633160699374,38.0491141794675
KY-04,2104,21,04,KY,-84.4235644665336,38.5700275522682
KY-05,2105,21,05,KY,-83.5197432550988,37.3692410465734
KY-01,2101,21,01,KY,-87.1832544016099,37.0813180513673
KY-02,2102,21,02,KY,-85.9888170841585,37.5346133729729
LA-06,2206,22,06,LA,-91.0232352900758,30.3070378085053
LA-02,2202,22,02,LA,-90.6026300625037,30.0369489490821
LA-04,2204,22,04,LA,-93.179495710467,31.8002263639998
LA-05,2205,22,05,LA,-91.8205778294999,31.7711091475802
LA-03,2203,22,03,LA,-92.4668858525061,30.0020087730994
LA-01,2201,22,01,LA,-90.0881876684458,29.6976934997372
ME-01,2301,23,01,ME,-69.9743199365014,43.8880251762073
ME-02,2302,23,02,ME,-69.1078230201934,45.5283094116351
MD-07,2407,24,07,MD,-76.7913421805288,39.4002652214687
MD-05,2405,24,05,MD,-76.7559588212759,38.5477407903369
MD-06,2406,24,06,MD,-78.3890087279114,39.499102194454
MD-04,2404,24,04,MD,-76.742103147047,38.9735115438209
MD-01,2401,24,01,MD,-75.963022375097,38.8332227108738
MD-03,2403,24,03,MD,-76.7279008708108,39.1757934818316
MD-08,2408,24,08,MD,-77.2464753654405,39.4298873780451
MD-02,2402,24,02,MD,-76.4510976911696,39.3516143663137
MA-02,2502,25,02,MA,-72.1217575938809,42.3839416740949
MA-04,2504,25,04,MA,-71.232551068183,41.9889027403222
MA-05,2505,25,05,MA,-71.314923731347207,42.3550412174535
MA-07,2507,25,07,MA,-71.0837615494746,42.3117085836369
MA-03,2503,25,03,MA,-71.5846294516711,42.5833404474408
MA-09,2509,25,09,MA,-70.6149544760293,41.6753524747839
MA-08,2508,25,08,MA,-71.0013683862286,42.1524243001231
MA-01,2501,25,01,MA,-72.8620357675454,42.3222188318096
MA-06,2506,25,06,MA,-70.9711600875962,42.6361855499393
MI-10,2610,26,10,MI,-82.9891804559944,43.317120656567
